Date,Open,High,Low,Close,Adj Close,Volume
2023-09-04,25968.169922,26414.005859,25404.359375,25832.226563,25832.226563,69814611152
2023-09-11,25831.714844,26840.498047,24930.296875,26534.187500,26534.187500,85796699860
2023-09-18,26532.994141,27488.763672,26221.050781,26256.826172,26256.826172,82251905213
2023-09-25,26253.775391,28047.238281,26011.468750,27983.750000,27983.750000,73012240734
2023-10-02,27976.798828,28494.458984,27215.552734,27935.089844,27935.089844,82183775698
2023-10-09,27934.472656,27989.470703,26558.320313,27159.652344,27159.652344,72673654487
2023-10-16,27162.628906,30287.482422,27130.472656,29993.896484,29993.896484,113402383094
2023-10-23,30140.685547,35150.433594,30097.828125,34538.480469,34538.480469,165718773022
2023-10-30,34531.742188,35919.843750,34083.308594,35049.355469,35049.355469,115520056635
2023-11-06,35044.789063,37926.257813,34545.816406,37054.519531,37054.519531,134767494805
2023-11-13,37070.304688,37964.894531,34948.500000,37386.546875,37386.546875,143535361089
2023-11-20,37374.074219,38415.339844,35670.972656,37479.121094,37479.121094,130439893957
